seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,20,10,0,0,1.0,1.0,1.0,1.0
1,19,10,0,1,0.9666666666666667,1.0,0.95,0.9743589743589743
2,19,10,0,1,0.9666666666666667,1.0,0.95,0.9743589743589743
3,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
4,20,10,0,0,1.0,1.0,1.0,1.0
5,19,10,0,1,0.9666666666666667,1.0,0.95,0.9743589743589743
6,20,10,0,0,1.0,1.0,1.0,1.0
7,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
8,20,10,0,0,1.0,1.0,1.0,1.0
9,20,10,0,0,1.0,1.0,1.0,1.0
10,19,10,0,1,0.9666666666666667,1.0,0.95,0.9743589743589743
11,20,10,0,0,1.0,1.0,1.0,1.0
12,20,10,0,0,1.0,1.0,1.0,1.0
13,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
14,20,10,0,0,1.0,1.0,1.0,1.0
15,20,10,0,0,1.0,1.0,1.0,1.0
16,20,10,0,0,1.0,1.0,1.0,1.0
17,19,10,0,1,0.9666666666666667,1.0,0.95,0.9743589743589743
18,20,10,0,0,1.0,1.0,1.0,1.0
19,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
20,20,10,0,0,1.0,1.0,1.0,1.0
21,20,10,0,0,1.0,1.0,1.0,1.0
22,19,9,1,1,0.9333333333333333,0.95,0.95,0.95
23,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
24,20,10,0,0,1.0,1.0,1.0,1.0
25,19,10,0,1,0.9666666666666667,1.0,0.95,0.9743589743589743
26,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
27,20,10,0,0,1.0,1.0,1.0,1.0
28,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
29,20,10,0,0,1.0,1.0,1.0,1.0
